si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
paghihirap 	  hirap 	  pag 	  _ 	  _ 	  hi 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kamag-angkan 	  angkan 	  kamag 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nangakalaya 	  kalaya 	  nang 	  _ 	  _ 	  ka 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
estudyante 	  estudyante 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
unang 	  unang 	  _ 	  _ 	  _ 	  _ 	CONJ
nakalaya 	  laya 	  naka 	  _ 	  _ 	  _ 	ADJ
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
macaraig 	  macaraig 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
huli 	  huli 	  _ 	  _ 	  _ 	  _ 	ADVERB
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
isagani 	  isagani 	  _ 	  _ 	  _ 	  _ 	PROPN
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
inabot 	  abot 	  in 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
linggo 	  linggo 	  _ 	  _ 	  _ 	  _ 	ADVERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
florentino 	  florentino 	  _ 	  _ 	  _ 	  _ 	PROPN
bago 	  bago 	  _ 	  _ 	  _ 	  _ 	ADVERB
nakarating 	  dating 	  naka 	  _ 	  _ 	  _ 	ADJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
maynila 	  maynila 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tanging 	  tangi 	  _ 	  _ 	  ng 	  _ 	ADJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
nakalaya 	  laya 	  naka 	  _ 	  _ 	  _ 	ADJ
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
basilio 	  basilio 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nasasakdal 	  sakdal 	  na 	  _ 	  _ 	  sa 	VERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pag-iingat 	  ingat 	  pag 	  _ 	  _ 	  i 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
aklat 	  aklat 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
bawal 	  bawal 	  _ 	  _ 	  _ 	  _ 	ADJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
nga 	  nga 	  _ 	  _ 	  _ 	  _ 	PART
lang 	  lang 	  _ 	  _ 	  _ 	  _ 	PART
malaman 	  alam 	  ma 	  _ 	  an 	  _ 	VERB
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
nila 	  nila 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
aklat 	  aklat 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
medecina 	  medecina 	  _ 	  _ 	  _ 	  _ 	PROPN
legal 	  legal 	  _ 	  _ 	  _ 	  _ 	PROPN
y 	  y 	  _ 	  _ 	  _ 	  _ 	CONJ
toxicologia 	  toxicologia 	  _ 	  _ 	  _ 	  _ 	PROPN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
dr. 	  dr. 	  _ 	  _ 	  _ 	  _ 	CONJ
mata 	  mata 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
o 	o 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
polyetong 	  polyetong 	  _ 	  _ 	  _ 	  _ 	NOUN
natagpuan 	  tagpo 	  na 	  _ 	  an 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanya 	  kanya 	  _ 	  _ 	  _ 	  _ 	DET
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
kinalaman 	  alam 	  kina 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pilipinas 	  pilipinas 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
malaman 	  alam 	  ma 	  _ 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
kay 	  kay 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
camorra 	  camorra 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
naiwan 	  iwan 	  na 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
piita 	  piita 	  _ 	  _ 	  _ 	  _ 	NOUN
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
basilio 	  basilio 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
naghahabol 	  habol 	  nag 	  _ 	  _ 	  ha 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
ipinasya 	  pasya 	  i 	  in 	  _ 	  _ 	VERB
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
maiwan 	  iwan 	  ma 	  _ 	  _ 	  _ 	VERB
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
mailigtas 	  ligtas 	  mai 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
karangalan 	  dangal 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kapangyarihan 	  pangyari 	  ka 	  _ 	  han 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
alila 	  alila 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nag-aaral 	  aral 	  nag 	  _ 	  _ 	  a 	VERB
* 	  * 	  _ 	  _ 	  _ 	  _ 	SYM
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tanong 	  tanong 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
gayon 	  gayon 	  _ 	  _ 	  _ 	  _ 	CONJ
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
matira 	  tira 	  ma 	  _ 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ipahintulot 	  pahintulot 	  i 	  _ 	  _ 	  _ 	VERB
po 	  po 	  _ 	  _ 	  _ 	  _ 	ADVERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
ng 	ng 	_ 	_ 	_ 	_ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
kamahalan 	  mahal 	  ka 	  _ 	  an 	  _ 	CONJ
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
wika 	  wika 	  _ 	  _ 	  _ 	  _ 	CONJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mataas 	  taas 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kawaning 	  kawani 	  _ 	  _ 	  ng 	  _ 	NOUN
nagkataong 	  taon 	  nagka 	  _ 	  g 	  _ 	ADVERB
nakaharap 	  harap 	  naka 	  _ 	  _ 	  _ 	VERB
noon 	  noon 	  _ 	  _ 	  _ 	  _ 	ADVERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
binata 	  binata 	  _ 	  _ 	  _ 	  _ 	NOUN
pong 	  pong 	  _ 	  _ 	  _ 	  _ 	ADVERB
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ayon 	  ayon 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
balita 	  balita 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nag-aaral 	  aral 	  nag 	  _ 	  _ 	  a 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
medesina 	  medesina 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
pinupuri 	  puri 	  _ 	  in 	  _ 	  pu 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kabutihan 	  buti 	  ka 	  _ 	  han 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lahat 	  lahat 	  _ 	  _ 	  _ 	  _ 	CONJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
guro 	  guro 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
palalayain 	  laya 	  pa 	  _ 	  in 	  la 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
maaaksaya 	  aksaya 	  ma 	  _ 	  _ 	  a 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
taon 	  taon 	  _ 	  _ 	  _ 	  _ 	NOUN
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
magtatapos 	  tapos 	  mag 	  _ 	  _ 	  ta 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
taong 	  taong 	  _ 	  _ 	  _ 	  _ 	NOUN
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

matagal 	  tagal 	  ma 	  _ 	  _ 	  _ 	ADJ
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
samaan 	  sama 	  _ 	  _ 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
loob 	  loob 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mataas 	  taas 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kawani 	  kawani 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamamagitan 	  pamamagitan 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
huli 	  huli 	  _ 	  _ 	  _ 	  _ 	NOUN
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kabutihan 	  buti 	  ka 	  _ 	  han 	  _ 	NOUN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
basilio 	  basilio 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nakasama 	  sama 	  naka 	  _ 	  _ 	  _ 	ADJ
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

winika 	  wika 	  _ 	  in 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
gayo 	  gayo 	  _ 	  _ 	  _ 	  _ 	CONJ
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
lalo 	  lalo 	  _ 	  _ 	  _ 	  _ 	ADJ
pang 	  pang 	  _ 	  _ 	  _ 	  _ 	PART
makabubuti 	  buti 	  maka 	  _ 	  _ 	  bu 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
magpatuloy 	  tuloy 	  magpa 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagkakabilanggo 	  bilanggo 	  pagkaka 	  _ 	  _ 	  _ 	NOUN
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
basilio 	  basilio 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akala 	  akala 	  _ 	  _ 	  _ 	  _ 	NOUN
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
po 	  po 	  _ 	  _ 	  _ 	  _ 	ADVERB
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
binatang 	  bata 	  _ 	  _ 	  ng 	  _ 	NOUN
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
siyang 	  siyang 	  _ 	  _ 	  _ 	  _ 	PRON
lalong 	  lalo 	  _ 	  _ 	  ng 	  _ 	ADJ
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
kakasa-kasalanan 	  kasa-kasalan 	  ka 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lahat 	  lahat 	  _ 	  _ 	  _ 	  _ 	CONJ
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
sagot 	  sagot 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
bahagyang 	  bahagya 	  _ 	  _ 	  ng 	  _ 	ADVERB
takot 	  takot 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kawani 	  kawani 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
nahulihan 	  huli 	  na 	  _ 	  han 	  _ 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
aklat 	  aklat 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
sagot 	  sagot 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kalihim 	  lihim 	  ka 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
oo 	  oo 	  _ 	  _ 	  _ 	  _ 	ADVERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
aklat 	  aklat 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
panggagamot 	  gamot 	  pang 	  _ 	  _ 	  ga 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pahayagang 	  hayag 	  pa 	  _ 	  ang 	  _ 	NOUN
sinulat 	  sulat 	  _ 	  in 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
taga-Espanya 	  Espanya 	  taga 	  _ 	  _ 	  _ 	NOUN
... 	  ... 	  _ 	  _ 	  _ 	  _ 	SYM
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
nagugupit 	  gupit 	  nag 	  _ 	  _ 	  gu 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
dahon 	  dahon 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

at 	at 	_ 	_ 	_ 	_ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
kasama 	  sama 	  ka 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
binatang 	  bata 	  _ 	  _ 	  ng 	  _ 	NOUN
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
piging 	  piging 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
idinaos 	  daos 	  i 	  in 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pansiterya 	  pansiterya 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

gaya 	  gaya 	  _ 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lalong 	  lalo 	  _ 	  _ 	  ng 	  _ 	ADJ
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
kasalanan 	  sala 	  ka 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
lalong 	  lalo 	  _ 	  _ 	  ng 	  _ 	ADJ
mabuti 	  buti 	  ma 	  _ 	  _ 	  _ 	ADJ
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
bulalas 	  bulalas 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ganyan 	  ganyan 	  _ 	  _ 	  _ 	  _ 	CONJ
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
lalong 	  lalo 	  _ 	  _ 	  ng 	  _ 	ADJ
magiging 	  maging 	  _ 	  _ 	  _ 	  gi 	VERB
mainam 	  inam 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
halimbawa 	  halimbawa 	  _ 	  _ 	  _ 	  _ 	NOUN
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
katakutan 	  takot 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
iba 	  iba 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
magiging 	  maging 	  _ 	  _ 	  _ 	  gi 	VERB
kaparusahan 	  parusa 	  ka 	  _ 	  han 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ganyan 	  ganyan 	  _ 	  _ 	  _ 	  _ 	PRON
nakikilala 	  kilala 	  na 	  _ 	  _ 	  ki 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
paraan 	  paraan 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pamamahala 	  amahala 	  pam 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ginoo 	  ginoo 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
madalas 	  dalas 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kinakailangang 	  kailangan 	  kina 	  _ 	  g 	  _ 	ADVERB
pasakitan 	  sakit 	  pa 	  _ 	  an 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kagalingan 	  galing 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
marami 	  dami 	  ma 	  _ 	  _ 	  _ 	CONJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
higit 	  higit 	  _ 	  _ 	  _ 	  _ 	ADJ
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
riyan 	  riyan 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ginagawa 	  gawa 	  _ 	  in 	  _ 	  ga 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ikabubuti 	  buti 	  ika 	  _ 	  _ 	  bu 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
kinukuha 	  kuha 	  _ 	  in 	  _ 	  ku 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kagalingan 	  galing 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lahat 	  lahat 	  _ 	  _ 	  _ 	  _ 	CONJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

maliligtas 	  ligtas 	  ma 	  _ 	  _ 	  li 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tibay 	  tibay 	  _ 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kapangyarihang 	  pangyari 	  ka 	  _ 	  hang 	  _ 	NOUN
napapanganib 	  panganib 	  napa 	  _ 	  _ 	  _ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
